,CourseNum,CourseName,Credits,Description,Topics
32,ECE391,Computer Systems Engineering,b'4',"
Concepts and abstractions central to the development of modern computing systems, with an emphasis on the systems software that controls interaction between devices and other hardware and application programs. Input-output semantics; synchronization; interrupts; multitasking; virtualization of abstractions. Term-based projects. Credit is not given for both ECE_391 and CS_241. Prerequisite: ECE_220 or CS_233.
","review of computer organization and representations x86 assembly: review of basic constructs and structures, interfacing C to assembly, macros, stack frame and calling convention simple data structures: queues, heaps, stacks, lists synchronization: primitives, memory semantics, mutual exclusion, semaphores, scheduling, and race conditions interrupts: controlling generation and handling, chaining, cleanup code, interactions with device functionality resource management: virtualization and protection, virtual memory and hardware support exceptions and signals: exceptions due to instructions, memory accesses, and floating-point operations; signal semantics and delivery device programming: basic abstractions, character and block devices file system abstractions: disk layout, access control lists and capabilities, log-structured and traditional filesystems as design problem I/O interface: file descriptors, buffering, control operations, memory mapping networking programming: socket abstractions, basics of low-level network protocols, relationship to kernel I/O abstractions review of computer organization and representations x86 assembly: review of basic constructs and structures, interfacing C to assembly, macros, stack frame and calling convention simple data structures: queues, heaps, stacks, lists synchronization: primitives, memory semantics, mutual exclusion, semaphores, scheduling, and race conditions interrupts: controlling generation and handling, chaining, cleanup code, interactions with device functionality resource management: virtualization and protection, virtual memory and hardware support exceptions and signals: exceptions due to instructions, memory accesses, and floating-point operations; signal semantics and delivery device programming: basic abstractions, character and block devices file system abstractions: disk layout, access control lists and capabilities, log-structured and traditional filesystems as design problem I/O interface: file descriptors, buffering, control operations, memory mapping networking programming: socket abstractions, basics of low-level network protocols, relationship to kernel I/O abstractions"
33,ECE395,Advanced Digital Projects Lab,b'2 or 3',"
Planning, designing, executing, and documenting a microcomputer-based project. Emphasis on hardware but special projects may require an equal emphasis on software. May be repeated in separate terms. Prerequisite: ECE_385.
",Planning and design Construction and evaluation Documentation Demonstration Planning and design Construction and evaluation Documentation Demonstration Familiarity with Digital Laboratory work and instrumentation Familiarity with a personal computer Understanding of microcomputer organization Ability to program in assembly language Ability to program in C or C++
34,ECE396,Honors Project,b'1 to 4',"
Special project or reading course for James Scholars in engineering. May be repeated. Prerequisite: Consent of instructor.
",
35,ECE397,Individual Study in ECE,b'0 to 4',"
Individual Projects. Approved for both letter and S/U grading. May be repeated. Prerequisite: Consent of instructor. Approved written application to department as specified by department or instructor is required.
",
36,ECE398,Special Topics in ECE,b'0 to 4',"
Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Approved for both letter and S/U grading. May be repeated in the same or separate terms if topics vary.
",
37,ECE399,Honors Seminar,b'1 to 4',"
Special lecture sequences or discussion groups arranged each term to bring James Scholars in engineering into direct contact with the various aspects of engineering practices and philosophy. For Computer Engineering and Electrical Engineering majors with senior standing. Prerequisite: Consent of instructor.
",
38,ECE401,Signal and Image Analysis,b'4',"
An introduction to signal analysis and processing methods for advanced undergraduates or graduate students in the biological, physical, social, engineering and computer sciences. Signal analysis methods and their capabilities, weaknesses, and artifacts with an emphasis on their practical application. Significant hands-on processing and interpretation of real data using MATLAB. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ECE_310 and ECE_401. Prerequisite: MATH_220.
","Fundamentals of frequency-domain signal analysis, for students who have not previously taken any signal processing course of any kind, Frequency-domain analysis, synthesis, and de-noising of bio-electric, acoustic, and imaging signals, Image enhancement to improve the visualization of experimental images, e.g., from biomedical imaging and/or low-light behavioral and environmental research settings. analysis of signals and images correlated with behavioral, linguistic, neuroscientific, and physical scientific phenomena. Students learn what types of information can be extracted from signals and images, why the algorithms work, and how to apply the algorithms in practice through a sequence of linked theoretical and machine problems. Problems address artificial signals, then progress to the analysis of acoustic, bio-electric, and neuro-imaging signals acquired through published research programs"
39,ECE402,Electronic Music Synthesis,b'3',"
Historical survey of electronic and computer music technology; parameters of musical expression and their codification; analysis and synthesis of fixed sound spectra; time-variant spectrum analysis/synthesis of musical sounds; algorithms for dynamic sound synthesis. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_310.
","Survey of Electronic Music Technology since 1900 Music Encoding and Generation Sound Perception and Analysis Subtractive Synthesis: Processing of Fixed Waveforms Sampling Synthesis Modulation Synthesis Additive Synthesis Additive Synthesis with Complex Basis Functions Physical Models Pitch Processing Real-Time Performance Interfaces and Implementation Simulated Environments Survey of Electronic Music Technology since 1900 Music Encoding and Generation Sound Perception and Analysis Subtractive Synthesis: Processing of Fixed Waveforms Sampling Synthesis Modulation Synthesis Additive Synthesis Additive Synthesis with Complex Basis Functions Physical Models Pitch Processing Real-Time Performance Interfaces and Implementation Simulated Environments Music notation, key signatures, accidentals, the circle of fifths, major and minor triads, tempo markings, and tunings Fourier series and transform Basic digital and analog filter theory Introductory digital systems Computer programming in a higher-level language"
40,ECE403,Audio Engineering,b'3',"
Resonance and wave phenomena; Acoustics of rooms and transmission lines (e.g., horns); How loudspeakers work: A lab component has been added to measure and model real loudspeakers and enclosures; Topics in digital audio, including AD and DA (Sigma-Delta) audio converters. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_210 and ECE_310.
","Acoustics review and signal processing review Acoustic transducers Noise, intensity, and time-varying signals Auditory psychophysics Digital audio coding Room/auditorium acoustics Sound localization/spatialization Speech and audio recognition URL to home page:  Acoustics review and signal processing review Acoustic transducers (Loudspeaker fundamentals) Noise, intensity, and time-varying signals Auditory psychophysics Digital audio coding Room/auditorium acoustics Sound localization/spatialization Speech and audio recognition Passive circuit steady-state and transient analysis (ECE 210) Acoustic plane and spherical wave phenomena (ECE  ) Fourier and Z transform (ECE 310) IIR and FIR filter design (ECE 310) Audio Engineering is the practical integration of Electroacoustics, Psychoacoustics, and Signal Processing for the purpose of creating really cool stuff. Electroacoustics: The study of speakers, mics, and other things that make electrical signals acoustic and vice versa. Psychoacoustics: The study of pitch,loudness, timbre, masking, and other perceptual qualities of a sound. Signal Processing: The study of ﬁlters and spectral representations used for signal description, interpre­tation, or compression. After learning about the core theoretical areas, we will study one or more of the following application areas. Room Acoustics: The art of measuring, modeling, and simulating the presence, early echoes and rever­beration of a room. 3D Audio Spatialization: The art of reproducing sounds at speciﬁed apparent locations around the listener. Pre-requisites are digital signal processing(ECE310) and acoustics(ECE ). The level is advanced undergraduate or introductory graduate."
41,ECE408,Applied Parallel Programming,b'4',"
Parallel programming with emphasis on developing applications for processors with many computation cores. Computational thinking, forms of parallelism, programming models, mapping computations to parallel hardware, efficient data structures, paradigms for efficient parallel algorithms, and application case studies. Same as CS_483 and CSE_408. 4 undergraduate hours. 4 graduate hours. Prerequisite: ECE_220.
","knowledge and hands-on experience in developing applications software for processors with massively parallel computing resources. In general, we refer to a processor as massively parallel if it has the ability to complete more than 64 arithmetic operations per clock cycle. Many commercial offerings from NVIDIA, AMD, and Intel already offer such levels of concurrency. Effectively programming these processors requires in-depth knowledge about parallel programming principles, as well as parallelism models, communication models, hardware organizations, and resource limitations of these processors. The target audiences of the course are students who want to develop exciting applications for these processors, as well as those who want to develop programming tools and future design for these processors. "
42,ECE411,Computer Organization & Design,b'4',"
Basic computer organization and design: integer and floating-point computer arithmetic; control unit design; pipelining; system interconnect; memory organization; I/O design; reliability and performance evaluation. Laboratory for computer design implementation, simulation, and layout. 4 undergraduate hours. 4 graduate hours. Prerequisite: ECE_391 or CS_241.
","Introduction and review of logic design Instruction set architectures Computer arithmetic Control unit design Memory organization: memory technologies, memory performance evaluation, interleaved memory, associative memory, virtual memory organization, cache memory Input-Output: devices, controllers, busy wait I/O, channels, interrupts, direct memory access to multiport memory Reliability and performance evaluation Introduction to parallel processing, case studies Instruction set architectures Control unit design Pipeling Memory organization: memory technologies, memory performance evaluation, interleaved memory, associative memory, virtual memory organization, cache memory Out-of-order Processors Input-Output: devices, controllers, busy wait I/O, channels, interrupts, direct memory access to multiport memory Reliability and performance evaluation Introduction to parallel processing, case studies Combinational and sequential logic design Machine language programming Introduction to Computer Engineering The lab assignments are designed to provide solid training in designing modern computers. The first three machine design problems, a simple sequential processor that implements the RISC-V instruction set, is an individual project. This is to ensure that each student learns all the skills required. ( ), ( ) Students are required to work in pairs on the fourth machine design problem: a pipelined processor to implement the same RISC-V instruction set. This is to enhance the students' ability to work in teams. ( ) The designs are done with state-of-the-art CAD tools. The current environment used is the ModelSim and Quartus. This is to give students real-world experience in using design tools. ( ), ( ) The lab reports are graded according to design correctness, design style, and documentation quality. Points will be taken off with the presence of design errors, unnecessary complications, excessive parts, and vague documentation. This is to ensure that students understand how to clearly document their designs. Students are required to do a face to face demonstration with the teaching assistants to explain their design. ( ) The fourth machine design problem is open-ended. Each team is required to choose an overall approach, identify the control mechanism, implement the data-path, and simulate the entire VHDL design for a pipelined microprocessor. ( ), ( ), ( ), ( ), ( ) Students are required to consider alternative solutions and justify their design decisions Formal written reports (not to exceed 10 double-spaced pages) and oral presentations are required from each group for this open-ended design problem. Students are asked to attend one of the team presentation sessions in the last two weeks of the course. Each team is allocated fifteen minutes to present and defend their design decisions. This is to ensure that students have gone through a complete design cycle with experience in communicating and defending their design decisions. ( ), ( )"
43,ECE414,Biomedical Instrumentation,b'3',"
Same as BIOE_414. See BIOE_414.
","Basic concepts of  medical and clinical instrumentation

 Basic concepts of medical diagnosis and statistical analysis

 Biopotentials, biosensors, and amplifiers  

 Action potentials, EMG, EEG, EOG, ECG, and average evoked potentials

 Electrical safety: how and why accidents happen. Injury mechanisms. 

 Basic concepts of diagnostic ultrasound, plain x-ray, CT, MRI, PET, and SPECT

 Cardiac rhythm interpretation with relationship to defibrillation and pacing

 Tests used in medical care and research: cardiovascular, imaging, and blood analysis

 Blood flow measurement by ultrasound, laser, and electromagnetic methods

 Basic concepts of  medical and clinical instrumentation

 Basic concepts of medical diagnosis and statistical analysis

 Biopotentials, biosensors, and amplifiers  

 Action potentials, EMG, EEG, EOG, ECG, and average evoked potentials

 Electrical safety: how and why accidents happen. Injury mechanisms. 

 Basic concepts of diagnostic ultrasound, plain x-ray, CT, MRI, PET, and SPECT

 Cardiac rhythm interpretation with relationship to defibrillation and pacing

 Tests used in medical care and research: cardiovascular, imaging, and blood analysis

 Blood flow measurement by ultrasound, laser, and electromagnetic methods

 Finding medical, biological, and engineering information on the internet and elsewhere will be discussed.

 Reading assignments from literature obtainable through the internet will be assigned, in addition to the main text.

 Basic Circuit theory Differential equations Basic time/frequency domain concepts"
44,ECE415,Biomedical Instrumentation Lab,b'2',"
Same as BIOE_415. See BIOE_415.
","Instrumentation amplifiers Operational amplifier circuits Vascular Doppler measurement of cardiac cycle parameters Sensors Heart rate monitor EOG, EMG, and ECG amplifiers Electrodes, the skin-electrode interface Design exercises Instrumentation amplifiers Operational amplifier circuits Vascular Doppler measurement of cardiac cycle parameters Sensors Heart rate monitor EOG, EMG, and ECG amplifiers Electrodes, the skin-electrode interface Design exercises Basic Circuit theory Differential equations Basic time/frequency domain concepts"
45,ECE416,Biosensors,b'3',"
Underlying engineering principles used to detect small molecules, DNA, proteins, and cells in the context of applications in diagnostic testing, pharmaceutical research, and environmental monitoring. Biosensor approaches including electrochemistry, fluorescence, acoustics, and optics; aspects of selective surface chemistry including methods for biomolecule attachment to transducer surfaces; characterization of bisensor performance; blood glucose detection; fluorescent DNA microarrays; label-free biochips; bead-based assay methods. Case studies and analysis of commercial biosensor. Same as BIOE_416. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_329.
","Introduction to the field of biosensors, applications, and the use of The design and capabilities of bioselective layers Biomolecular structure and function Mass transport and biosensing in a flow stream Biosensor figures of merit for comparison of approaches Homogeneous and heterogeneous assays: fluorescence polarization Electrochemical biosensors Acoustic biosensors Optical biosensors Fluorescence, Raman Spectroscopy, and Fluorescence Enhancement, Nanoparticle and microparticle labels Next-generation DNA sequencing technology Mobile/Point of Care biosensors Faculty guest lectures on biosensor applications in research including their role in medical care, biology research, defense, and society.  of biosensors that demonstrate their broad applicability and range of size, cost, and complexity that allow them to meet specific requirements. describe the most commonly used mathematical and graphical representation tools to analyze biosensor output, and how biosensor reproducibility and various sources of noise can compromise a biosensor’s ability to observe a signal or to differentiate between two analyte concentrations. describes the approaches used to make covalent attachment of molecules like antibodies or DNA to biosensor surfaces, which enable the sensor to selectively recognize a specific target molecule within a complex test sample, such as blood.  describes the building blocks of DNA and protein molecules, and the relevant features of those molecules that allow them to be attached to a biosensor surface, and to subsequently recognize its target.  describes the process by which molecules diffuse to and interact with a biosensor surface by chemical equilibrium interactions, and how a biosensor signal is generated kinetically as a function of time. We describe situations in which either mass transport flow or chemical reaction rates can limit the rate of molecule detection, and the difference between biosensor binding curves generated by each limitation. The design of microfluidic channel interfaces with biosensors and the selection of flow rates is discussed.  describe the performance metrics by which sensor technologies that operate by different mechanisms can be compared to each other, enabling the relative strengths and weaknesses of detection approaches to be compared by their sensitivity, throughput, dynamic range, limit of detection, and limit of quantitation. describes the underlying physical phenomena, detection instrumentation, and labels used for fluorescence polarization and fluorescence resonant energy transfer assays. explores the development of three successively developed generations of blood glucose sensors, starting with the Clark oxygen electrode, and extending to the solid electrodes used most commonly for monitoring blood glucose levels. The role of electron transfer mediators, enzymes, semipermeable membranes, and redox reactions in the generation of a voltage output that is proportional to glucose concentration are discussed. describes the quartz crystal microbalance, Love-wave membrane resonators, and shear wave resonators that can directly detect biomolecule, viral, or bacterial attachment. Commercial products based upon acoustic sensor technology is described.  include sensors based upon surface plasmon resonance and photonic crystal resonance to detect biomaterial using its intrinsic dielectric permittivity. We discuss fundamentally why biomaterial has a greater dielectric permittivity than water, and how this can be used to devise sensor surfaces and detection instruments to precisely measure the interaction of biomaterial with light, including the use of waveguides and evanescent electromagnetic fields.  is described from its quantum mechanical origins, including Jablonski energy band diagrams, the Stokes shift, fluorescence lifetime, and quantum efficiency. Several representative fluorescent dye molecules are described, and their features that underlie their ability to interact with external applied illumination with polarization dependence. Fluorescence detection instrumentation design, including confocal laser scanners and fluorescence microscopes are described, including the selection of light sources, filters, and photon detectors.  are taught beginning with the fundamental principles of photon scattering, and excitation of mechanical vibrations in molecules. Stokes, Anti-Stokes, and IR absorption are differentiated from each other, and the relationship between electric field and Raman intensity is described. Raman instrumentation and SERS surfaces are described, including selection of laser wavelength, design of SERS surfaces for maximization of electromagnetic hot spots, and the effects of autofluorescence.  are described as a representative nanoparticle tag that can be used in place of fluorescent dyes for some applications. QD physics is briefly described, along with fabrication methods, selection of materials, and the effects of QD diameter on emission wavelength. QD-related phenomena such as blinking and photobleaching are discussed, along with QD applications in cell microscopy. To teach the fundamental concepts behind the operation of the most important classes of biosensors ( ) To teach how biosensors are characterized, compared to each other, and designed to suit particular applications ( ) To teach how biochemical functionality is coupled to a biosensor transducer ( ) To describe the major applications of biosensor technology in diagnostic tests, life science research, and environmental testing ( ) To expose students to several of the most important emerging biosensor technologies ( ) To encourage the practice of critical thinking when considering a new detection technology and to develop the ability to communicate well-researched opinions to others ( , )"
46,ECE417,Multimedia Signal Processing,b'4',"
Characteristics of speech and image signals; important analysis and synthesis tools for multimedia signal processing including subspace methods, Bayesian networks, hidden Markov models, and factor graphs; applications to biometrics (person identification), human-computer interaction (face and gesture recognition and synthesis), and audio-visual databases (indexing and retrieval). Emphasis on a set of MATLAB machine problems providing hands-on experience. 4 undergraduate hours. 4 graduate hours. Prerequisite: ECE_310 and ECE_313.
","analyze and synthesize speech signals using a multiband-excitation (sub-band-filtered combination of pulse train and white noise signals) and using a linear predictive (LPC) model of the spectrum, principal component analysis and linear discriminant analysis, and their applications to face recognition, maximum likelihood (ML) classifiers, Gaussian mixture models, and multimodal fusion, and their applications to audio-visual person identification, hidden Markov model (HMM), including algorithms for learning, inference, and decoding, and its application to audio-visual speech recognition, train and test a convolutional neural network for face detection, and visualize the receptive fields learned by the network kernels, 3D face modeling and animation and applications to speech-driven lip movement in an audio-visual avatar (synthetic talking head), deep canonical correlation analysis (DCCA) for audiovisual event detection. "
47,ECE418,Image & Video Processing,b'4',"
Concepts and applications in image and video processing; introduction to multidimensional signal processing: sampling, Fourier transform, filtering, interpolation, and decimation; human visual perception; scanning and display of images and video; image enhancement, restoration and segmentation; digital image and video compression; image analysis. Laboratory exercises promote experience with topics and development of C and MATLAB programs. 4 undergraduate hours. 4 graduate hours. Prerequisite: ECE_310; credit or concurrent registration in one of ECE_313, STAT_400, IE_300, MATH_461; MATH_415; experience with C programming language.
","Introduction Basic multidimensional signal processing

	 sampling Fourier transform filtering interpolation and decimation Human visual perception Image scanning and display Video scanning and display Image enhancement Image compression Video compression Image analysis Introduction Basic multidimensional signal processing

	 sampling Fourier transform filtering interpolation and decimation Human visual perception Image scanning and display Video scanning and display Image enhancement Image compression Video compression Image analysis"
48,ECE419,Security Laboratory,b'3 or 4',"
Same as CS_460. See CS_460.
","Endpoint       security overview Windows       and SELinux access control study Windows       and Linux Least Privilege and Delegation Audit       trail analysis Network       security overview Firewalls Network       sniffing and attacks VPN       Configuration Wireless       security IPv6       and mobile IP security AAA       interfaces Intrusion       detection Worm       and virus exploit studies Security       hardware, e.g. biometrics, smart cards, TPM Forensics,       e.g. honey pots System       security architecture case studies Red teaming Endpoint       security overview Windows       and SELinux access control study Windows       and Linux Least Privilege and Delegation Audit       trail analysis Network       security overview Firewalls Network       sniffing and attacks VPN       Configuration Wireless       security IPv6       and mobile IP security AAA       interfaces Intrusion       detection Worm       and virus exploit studies Security       hardware, e.g. biometrics, smart cards, TPM Forensics,       e.g. honey pots System       security architecture case studies Red teaming"
49,ECE420,Embedded DSP Laboratory,b'2',"
Development of real-time digital signal processing (DSP) systems using a DSP microprocessor; several structured laboratory exercises, such as sampling and digital filtering; followed by an extensive DSP project of the student's choice. 2 undergraduate hours. 2 graduate hours. Prerequisite: ECE_310.
","Using DSP microprocessor development system Embedded programming of DSP microprocessor Audio-rate sampling of analog signals Design and implementation of FIR filters Design and implementation of IIR filters Digital modulation for communications Digital processing of audio, image, and video signals Application of the discrete Fourier transform Projects Using DSP microprocessor development system Embedded programming of DSP microprocessor Developing DSP applications on embedded and mobile devices Audio-rate sampling of analog signals Design and implementation of FIR filters Design and implementation of IIR filters Digital modulation for communications Digital processing of audio, image, and video signals Application of the discrete Fourier transform Projects TMS320C5510 development boards Function generators Oscilloscopes Android tablets Digital signal processing Embedded language programming"
50,ECE422,Computer Security I,b'4',"
Same as CS_461. See CS_461.
","Assess and address Security and Privacy (S&P) issues for policy and humans. That is, characterize and classify the threats based on human conformance to policy and evaluate the effectiveness of a range of countermeaures, Provide S&P risk analysis for basic scenarios based on core principles, specifically the Confidentiality, Integrity, Availability (CIA) requirements, Apply cryptographic hashes, pseudorandom generators, symmetric, and asymmetric cryptography with appropriate tradeoffs, Evaluate options for authentication based on secrets, tokens, and biometrics. (1)
Understand network, application, and systems security, Formulate access control models for basic situations, Write and mitigate malicious code and characterize basic means of its propagation, Assess the threat of basic Denial of Service (DoS) attacks, Provide network securty protections using firewalls and IDSs, Assess threats based on physical layer, Apply legal and ethical rules for S&P"
51,ECE424,Computer Security II,b'3 or 4',"
Same as CS_463. See CS_463.
","Privacy issues in social networks, Machine learning applications in security and adversarial machine learning, Crypto constructs (homomorphic encryption, multi-party computation, De-identification, Hardware for trusted computing, Information flow, computational security for encryption, Security in key sectors (healthcare, power grid, transportation, Smartphone security, web privacy, Human factors, Insider threats, Internet of Things (IoT) security, Cyber warfare, and other topics of emerging interest in security and privacy"
52,ECE425,Intro to VLSI System Design,b'3',"
Complementary Metal-Oxide Semiconductor (CMOS) technology and theory; CMOS circuit and logic design; layout rules and techniques; circuit characterization and performance estimation; CMOS subsystem design; Very-Large-Scale Integrated (VLSI) systems design methods; VLSI Computer Aided Design (CAD) tools; workstation-based custom VLSI chip design using concepts of cell hierarchy; final project involving specification, design, and evaluation of a VLSI chip or VLSI CAD program; written report and oral presentation on the final project. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_385 and ECE_411; or CS_233.
","CMOS technology and theory of operation CMOS circuit and logic design CMOS layout rules and techniques CMOS circuit characterization and performance estimation CMOS subsystem design VLSI systems design methods VLSI computer-aided design tools CMOS technology and theory of operation CMOS circuit and logic design CMOS layout rules and techniques CMOS circuit characterization and performance estimation CMOS subsystem design VLSI systems design methods VLSI computer-aided design tools Design and layout of a simple CMOS cell, e.g., adder. Design, layout and simulation of a CMOS subsystem, e.g., ALU. Design, layout and simulation of a CMOS microprocessor chip, with pads. Design, layout and simulation of CMOS functional unit, e.g., a multiplier, using automatic layout techniques. Basic logic design of computing circuits, or Basic computer architecture"
53,ECE428,Distributed Systems,b'3 or 4',"
Same as CS_425. See CS_425.
","Introduction: Examples of computer networks and distributed systems; concept of layered architecture; ISO reference model of Open System Interconnection Overview of communication subnetworks: Physical layer protocol issues; data link layer protocols; network layer protocol issues (virtual circuits vs. tachogram; local-area network architectures; satellite and packet radio networks; point-to-point packet switched networks; models of network interconnection; standard network access protocols) Transport and session protocol design issues: Transport and connection and connection establishment; flow control and buffering; synchronization in distributed environment; multiplexing; crash recover; networking facilities in well-known systems. Presentation layer protocols: Terminal handling and protocols; file transfer protocol design issues; network security and privacy; standard for presentation of layer protocols Distributed operating system design: Models and primitives of distributed computing; distributed resource management and scheduling (file allocation, load sharing, task assignment, etc.; current topics) Distributed database systems: Distributed database systems; concurrency control and synchronization; current topics; examples of distributed database systems Introduction: Examples of computer networks and distributed systems; concept of layered architecture Overview of communication protocols: Network layer protocols, transport layer Presentation layer protocols: Terminal handling and protocols; file transfer protocol design issues; network security and privacy; standard for presentation of layer protocols Distributed operating system design: Models and primitives of distributed computing; distributed shared memoery. Distributed database systems: Distributed database systems; concurrency control and synchronization; current topics; examples of distributed database systems Data structures Systems programming concepts"
54,ECE431,Electric Machinery,b'4',"
Theory and laboratory experimentation with three-phase power, power-factor correction, single- and three-phase transformers, induction machines, DC machines, and synchronous machines; project work on energy control systems; digital simulation of machine dynamics. 4 undergraduate hours. 4 graduate hours. Prerequisite: ECE_330.
","Power measurement, three-phase power Power factor control Single-phase transformer tests and theory Saturation and harmonic effects in three-phase transformers Induction motor testing and theory Induction motor performance dc machine testing and theory dc machine performance Synchronous machine testing and theory Synchronous machine performance Digital simulation of machine dynamics Energy control projects Power measurement, three-phase power Power factor control Single-phase transformer tests and theory Saturation and harmonic effects in three-phase transformers Induction motor testing and theory Induction motor performance dc machine testing and theory dc machine performance Synchronous machine testing and theory Synchronous machine performance Digital simulation of machine dynamics Energy control projects Electromechanics dc and ac circuits"
55,ECE432,Advanced Electric Machinery,b'3',"
Advanced rotating machine theory and practice: dynamic analysis of machines using reference frame transformations; tests for parameter determination; reduced order modeling of machines; mechanical subsystems including governors, prime movers and excitation systems; digital simulation of inter-connected machines. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_431.
","Advanced electromechanics Dynamic models Reference frame transformations Reduced-order models Mechanical loads and models Power electronic drives: dc techniques, ac techniques, models Digital simulation of electric drive systems Advanced electromechanics Dynamic models Reference frame transformations Reduced-order models Mechanical loads and models Power electronic drives: dc techniques, ac techniques, models Digital simulation of electric drive systems"
56,ECE435,Computer Networking Laboratory,b'3 or 4',"
Design, application, analysis, and evalution of communication network protocols under both Linux and Windows NT operating systems. Emphasis on identifying problems, proposing alternative solutions, implementing prototypes using available network protocols and evaluating results. Multiple programming team projects. Same as CS_436. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS_438.
","ARP, TCP, UDP, RARP, BOOTP, SNMP IP routing Performance monitoring and evaluation 2 laboratory projects Network fault diagnosis and isolation Evaluation of networks and related protocols Routing algorithms 2 laboratory projects Network fault analysis Real-time multimedia transmission Multi-access mobile network protocols ATM Network protocols Network emulation Design of network device drivers 1 laboratory project 1 independent project ARP, TCP, UDP, RARP, BOOTP, SNMP IP routing Performance monitoring and evaluation 2 laboratory projects Network fault diagnosis and isolation Evaluation of networks and related protocols Routing algorithms 2 laboratory projects Network fault analysis Real-time multimedia transmission Multi-access mobile network protocols ATM Network protocols Network emulation Design of network device drivers 1 laboratory project 1 independent project G.R. Wright and W.R. Stevens, "
57,ECE437,Sensors and Instrumentation,b'3',"
Hands-on exposure to fundamental technology and practical application of sensors. Capacitive, inductive, optical, electromagnetic, and other sensing methods are examined. Instrumentation techniques incorporating computer control, sampling, and data collection and analysis are reviewed in the context of real-world scenarios. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_329.
","The goal of this course is to give senior and graduate students in engineering a hands-on introduction to the fundamental technology and practical applications of sensors. Various sensors, including capacitive, inductive, ultrasonic, accelerometers, image sensors and others will be covered in the course. Instrumentation techniques incorporating computer control, sampling, and data collection and analysis are reviewed in the context of real-world scenarios. The course is based around a custom board equipped with various sensors, such as a high speed camera, touch sensor, humidity sensor, temperature sensor, pressure sensor, accelerometer and position sensor. The board interfaces with these sensors via an FPGA device and it can also communicate with a PC via USB 3.0 interface. Students will use Verilog language to program FPGA devices and communicate with various sensors and PC"
58,ECE438,Communication Networks,b'3 or 4',"
Same as CS_438. See CS_438.
","Networks Overview Application Layer Transport Layer Network Layer Link Layer Wireless Networks Network Security  Concepts of network architecture; network edge and core; performance metrics; protocol layers; and Internet history. Application layer principles; Web & HTTP; Email; DNS; P2P; Video Streaming Internet addressing and Internet protocols; socket interface; TCP/IP protocols; client-server models; TCP Congestion Control. Data plane and control plane; routers; IP protocol; Routing Algorithms: Link state and distance vector; Intra-AS and Inter-AS routing: SDNs; Networking management. Framing; error detection and correction; Multiple access protocols; LANs: Addressing, ARP, Ethernet, Switches, Virtual LANs; MPLS; Data Center Networks.  wireless link properties; wireless MAC; 802.11 wireless LANs; cellular networks; mobility.  principles of network security; cryptography; authentication; message integrity; SSL/TLS protocols;"
59,ECE439,Wireless Networks,b'3 or 4',"
Overview of wireless network architectures including cellular networks, local area networks, multi-hop wireless networks such as ad hoc networks, mesh networks, and sensor networks; capacity of wireless networks; medium access control, routing protocols, and transport protocols for wireless networks; mechanisms to improve performance and security in wireless networks; energy-efficient protocols for sensor networks. Same as CS_439. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS_241 or ECE_391; one of MATH_461, MATH_463, ECE_313.
","various theoretical and practical issues in the context of wireless networks. The topics covered in the course can be divided into six segments: (1) introduction to wireless networks, (2) a brief overview of physical layer issues, (3) medium access control, (4) network layer issues, including routing and address assignment, (5) transport layer performance, and (6) issues in sensor and cellular networks."
